City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
679,Pangody,RU,65.85,74.4859,1.8,99,99,3.67,overcast clouds
680,Roald,NO,62.5833,6.1333,26.74,74,0,11.5,clear sky
681,Loviisa,FI,60.4566,26.2251,20.43,73,100,14.2,overcast clouds
682,Salalah,OM,17.0151,54.0924,73.49,49,0,3.44,clear sky
683,Coquimbo,CL,-29.9533,-71.3436,64.13,72,20,12.66,few clouds
684,Nandgaon,IN,20.3167,74.65,68.31,47,98,7.52,overcast clouds
685,Camacha,PT,33.0833,-16.3333,59.76,82,40,14.97,scattered clouds
686,Gornyy,RU,55.1153,83.9059,20.75,93,100,20.45,snow
687,Kuah,MY,6.3265,99.8432,76.98,94,20,0.0,few clouds
688,Kosa,RU,59.9445,54.9977,28.09,96,100,8.97,light snow
689,Nuuk,GL,64.1835,-51.7216,45.21,87,90,18.41,moderate rain
690,Tuy Hoa,VN,13.0833,109.3,76.37,95,100,10.58,moderate rain
691,Kalmunai,LK,7.4167,81.8167,78.84,84,99,4.41,overcast clouds
692,Alice Town,BS,25.7167,-79.3,72.19,68,5,7.38,clear sky
693,Kurilsk,RU,45.2333,147.8833,36.25,66,99,18.84,overcast clouds
694,Lethem,GY,3.3803,-59.7968,82.62,67,35,7.31,scattered clouds
695,Bekhtery,UA,46.251,32.2927,51.44,90,6,8.3,clear sky
696,Sari,IR,36.5633,53.0601,51.87,84,2,3.62,clear sky
697,Novoseleznevo,RU,55.6821,69.2056,21.45,91,86,12.1,overcast clouds
698,Svetlaya,RU,46.5389,138.3297,22.98,72,2,9.75,clear sky
699,Grootfontein,NA,-19.5667,18.1167,71.17,56,70,2.3,broken clouds
700,Dehloran,IR,32.6941,47.2679,66.65,33,92,3.53,overcast clouds
701,Ixtapa,MX,20.7,-105.2,81.63,65,75,8.05,broken clouds
702,Kulhudhuffushi,MV,6.6221,73.07,80.96,78,100,12.01,overcast clouds
703,Kushiro,JP,42.975,144.3747,34.75,69,40,5.75,scattered clouds
704,Muzhi,RU,65.3667,64.6667,-8.12,96,78,4.54,broken clouds
705,Pershotravneve,UA,51.3929,28.8684,33.06,90,13,4.76,few clouds
706,Kilkenny,IE,52.6542,-7.2522,35.19,84,99,8.46,overcast clouds
707,Pecos,US,31.4229,-103.4932,65.23,55,90,12.66,overcast clouds
708,Mgandu,TZ,-5.95,34.1333,65.91,60,57,7.05,broken clouds
709,Pouembout,NC,-21.1333,164.9,86.67,57,18,4.47,few clouds
710,Padang,ID,-0.9492,100.3543,77.05,76,100,3.04,overcast clouds
711,Salinas,US,36.6777,-121.6555,75.29,33,1,4.61,clear sky
712,Bubaque,GW,11.2833,-15.8333,83.05,69,88,13.38,overcast clouds
713,Axim,GH,4.8699,-2.2405,79.07,81,97,7.65,overcast clouds
714,Haverfordwest,GB,51.8017,-4.9691,40.59,63,98,20.0,light rain
715,Vratnica,MK,42.1433,21.1169,42.53,87,62,4.94,broken clouds
716,Vazhiny,RU,60.9644,34.0222,23.99,83,100,13.22,overcast clouds
717,Ulladulla,AU,-35.35,150.4667,59.9,81,99,9.66,overcast clouds
718,Egvekinot,RU,66.3167,-179.1667,-15.95,84,2,5.44,clear sky
719,Jawhar,SO,2.7809,45.5005,75.51,88,23,5.35,few clouds
720,La Seyne-Sur-Mer,FR,43.0982,5.8847,46.35,66,37,20.78,scattered clouds
